config,level,time,count
TX2,1,6,1
TX2,1,8,1
TX2,1,42,1
TX2,1,74,1
TX2,1,80,1
TX2,1,100,1
TX2,1,109,1
TX2,1,110,1
TX2,1,111,1
TX2,1,112,1
TX2,1,114,1
TX2,1,115,1
TX2,1,119,1
TX2,1,121,1
TX2,1,123,1
TX2,1,124,1
TX2,1,128,1
TX2,1,130,1
TX2,1,621,1
TX2,1,653,1
TX2,1,795,1
TX2,1,808,1
TX2,1,818,1
TX2,1,827,1
TX2,1,853,1
TX2,1,877,1
TX2,1,915,1
TX2,1,929,1
TX2,1,930,1
TX2,1,933,1
TX2,1,966,1
TX2,1,974,1
TX2,1,982,1
TX2,1,985,1
TX2,1,1005,1
TX2,1,1016,1
TX2,1,1022,1
TX2,1,1028,1
TX2,1,1032,1
TX2,1,1052,1
TX2,1,1072,1
TX2,1,1084,1
TX2,1,1088,1
TX2,1,1089,1
TX2,1,1090,1
TX2,1,1096,1
TX2,1,1100,1
TX2,1,1126,1
TX2,1,1133,1
TX2,1,1136,1
TX2,1,1149,1
TX2,1,1152,1
TX2,1,1154,1
TX2,1,1157,1
TX2,1,1164,1
TX2,1,1167,1
TX2,1,1168,1
TX2,1,1170,1
TX2,1,1173,2
TX2,1,1180,1
TX2,1,1193,1
TX2,1,1194,1
TX2,1,1197,1
TX2,1,1209,1
TX2,1,1213,2
TX2,1,1214,1
TX2,1,1215,1
TX2,1,1216,1
TX2,1,1217,2
TX2,1,1218,1
TX2,1,1219,2
TX2,1,1220,1
TX2,1,1222,1
TX2,1,1224,1
TX2,1,1227,1
TX2,1,1228,2
TX2,1,1234,1
TX2,1,1240,1
TX2,1,1245,1
TX2,1,1251,1
TX2,1,1255,1
TX2,1,1256,2
TX2,1,1259,1
TX2,1,1262,2
TX2,1,1264,1
TX2,1,1267,1
TX2,1,1270,2
TX2,1,1271,1
TX2,1,1272,1
TX2,1,1273,1
TX2,1,1274,1
TX2,1,1276,1
TX2,1,1280,2
TX2,1,1282,1
TX2,1,1290,1
TX2,1,1291,2
TX2,1,1296,2
TX2,1,1299,1
TX2,1,1302,2
TX2,1,1304,1
TX2,1,1305,1
TX2,1,1306,1
TX2,1,1309,1
TX2,1,1312,1
TX2,1,1314,1
TX2,1,1317,1
TX2,1,1318,1
TX2,1,1320,2
TX2,1,1321,1
TX2,1,1326,2
TX2,1,1330,1
TX2,1,1334,2
TX2,1,1336,1
TX2,1,1338,1
TX2,1,1341,1
TX2,1,1343,1
TX2,1,1349,1
TX2,1,1350,2
TX2,1,1353,2
TX2,1,1354,1
